l n beta
1 -5 0.7036927108452488
1 -4 0.6658541045852922
1 -3 0.7872556369484693
1 -2 0.6565482801745973
1 -1 0.8172393908355952
1 1 0.6744039322302257
1 2 0.8405398005499450
1 3 0.6896783689409058
1 4 0.8463290856317146
1 5 0.7752837382619544
1 6 0.7681685530455685
1 7 0.8906525779810498
1 8 0.7446169257644975
1 9 0.8439976673971442
1 10 0.8860597500410652
1 11 0.7735487422975490
1 12 0.8675349536418597
1 13 0.9126702749399531
1 14 0.7890680341632467
1 15 0.8273181726317125
1 16 0.9342844266438702
1 17 0.9530709558542092
1 18 0.9058051381732158
1 19 0.7167681034573647
1 20 0.9174207803465900
2 -5 0.9133903226294421
2 -4 0.8470981536930946
2 -3 0.9776387516591939
2 -2 0.8451186690493080
2 -1 0.9812437238276992
2 0 0.8455805710649293
2 1 0.9829081514847410
2 2 0.8471511794269674
2 3 0.9834888992416807
2 4 0.8563600039761740
2 5 0.9761300763143101
2 6 0.9820953865579202
2 7 0.8518134874677726
2 8 0.9875598463339244
2 9 0.8704614700986283
2 10 0.9661510813692168
2 11 0.9891186982098887
2 12 0.8684479356295584
2 13 0.9711808979532981
2 14 0.9903196071144416
2 15 0.9767974474344373
2 16 0.8662917483943270
2 17 0.9909083007739280
2 18 0.9921246909696005
2 19 0.9515091978820635
2 20 0.9007297799411964
3 -5 0.9213928999899763
3 -4 0.9890067867833462
3 -3 0.9215496526608532
3 -2 0.9897962618008773
3 -1 0.9217744899194535
3 0 0.9904579406812527
3 1 0.9219685611919998
3 2 0.9911092722567548
3 3 0.9221528771081584
3 4 0.9916952748090780
3 5 0.9224775538304700
3 6 0.9921743277291361
3 7 0.9247386466040435
3 8 0.9908315604914029
3 9 0.9930782649414046
3 10 0.9232032732491866
3 11 0.9934926781152833
3 12 0.9936399770813369
3 13 0.9237410544051562
3 14 0.9943519908823873
3 15 0.9947387569514984
3 16 0.9240566646295330
3 17 0.9954601245240372
3 18 0.9963138573306930
3 19 0.9956933766765109
3 20 0.9271102588809640
