l n nu E
0 1 70.182355 9.79476E-04
0 2 120.267539 9.82818E-05
0 3 165.759750 1.99740E-05
0 4 208.983999 5.23016E-06
0 5 251.999190 1.58074E-06
0 6 294.868926 5.11119E-07
0 7 336.343306 1.69427E-07
0 8 375.801479 6.61644E-08
0 9 414.790077 3.43028E-08
0 10 454.544129 2.03789E-08
0 11 494.030170 1.25738E-08
0 12 532.874101 8.89998E-09
0 13 572.180798 7.41682E-09
0 14 612.255849 6.54689E-09
0 15 652.472058 5.84191E-09
0 16 692.654238 5.43950E-09
0 17 733.081738 5.35983E-09
0 18 773.836294 5.46089E-09
0 19 814.766032 5.63581E-09
0 20 855.776061 5.90099E-09
1 -5 398.801322 9.41048E-08
1 -4 417.809890 1.02564E-07
1 -3 433.805738 4.44194E-08
1 -2 452.720961 6.41446E-08
1 -1 472.171543 2.52877E-08
1 1 491.066237 3.55927E-08
1 2 512.628267 1.47924E-08
1 3 533.548969 2.38095E-08
1 4 554.370780 1.07431E-08
1 5 581.834239 1.39961E-08
1 6 599.658927 1.15470E-08
1 7 629.560317 7.94815E-09
1 8 654.698468 1.23917E-08
1 9 677.287791 7.50293E-09
1 10 708.978801 7.06171E-09
1 11 734.149049 1.01237E-08
1 12 760.191583 6.87324E-09
1 13 794.585993 6.52772E-09
1 14 824.260007 1.05095E-08
1 15 846.170790 8.45560E-09
1 16 880.363762 6.71125E-09
1 17 918.603020 7.08336E-09
1 18 955.428220 9.04257E-09
1 19 978.188125 1.89273E-08
1 20 1004.676894 9.93905E-09
2 -5 530.397040 1.72132E-08
2 -4 558.368046 2.33940E-07
2 -3 568.442558 7.77440E-09
2 -2 592.103352 3.58793E-07
2 -1 608.407000 6.75567E-09
2 0 630.222015 3.12310E-07
2 1 648.691137 5.99647E-09
2 2 673.283221 2.22041E-07
2 3 689.053397 5.56576E-09
2 4 722.038351 6.62938E-08
2 5 729.920500 5.78023E-09
2 6 769.742074 5.71341E-09
2 7 780.098863 9.95607E-08
2 8 811.131509 5.66977E-09
2 9 846.840847 3.47024E-08
2 10 853.143465 6.95291E-09
2 11 893.220505 6.32951E-09
2 12 927.787890 4.64666E-08
2 13 935.444792 7.91063E-09
2 14 975.588685 7.81693E-09
2 15 1015.684122 1.02504E-08
2 16 1024.753765 6.99694E-08
2 17 1057.824126 1.17434E-08
2 18 1098.111544 1.71608E-08
2 19 1136.018733 4.86797E-08
2 20 1142.266997 1.10312E-07
3 -5 650.261276 3.25209E-06
3 -4 663.617131 5.67956E-09
3 -3 682.199830 3.76239E-06
3 -2 703.975696 5.38487E-09
3 -1 717.411382 2.59495E-06
3 0 744.607264 5.37379E-09
3 1 756.535297 2.09345E-06
3 2 785.569356 5.49466E-09
3 3 800.421393 2.59894E-06
3 4 826.670754 5.69070E-09
3 5 849.776171 2.83201E-06
3 6 867.810042 6.00259E-09
3 7 905.265225 2.26961E-07
3 8 909.094577 6.64352E-09
3 9 950.210973 7.16913E-09
3 10 968.673300 2.83509E-06
3 11 991.428272 8.21327E-09
3 12 1032.442621 9.95739E-09
3 13 1042.157419 1.60773E-06
3 14 1073.363662 1.31540E-08
3 15 1113.728181 2.13523E-08
3 16 1128.753333 6.22296E-06
3 17 1153.187195 6.23131E-08
3 18 1190.691914 1.40522E-05
3 19 1225.611979 3.52930E-08
3 20 1230.655144 7.06804E-07
