l n beta
1 1 0.7703990269532800
1 2 0.7288508627613185
1 3 0.8565045891325049
1 4 0.6789451024047496
1 5 0.8895160201263760
1 6 0.7617301116390378
1 7 0.8070292743210572
1 8 0.8829598191783812
1 9 0.7537796497676607
1 10 0.8716829025341496
1 11 0.9066530806736988
1 12 0.7356665750134219
1 13 0.8672186839534249
1 14 0.9446119002732845
1 15 0.9470110510277837
1 16 0.7573835162841718
1 17 0.8239790054467965
1 18 0.9553122862038281
1 19 0.9720528976648676
1 20 0.9752331052725243
1 21 0.9554656512403686
1 22 0.7372185489447484
1 23 0.8730950066508870
1 24 0.9681473890664787
1 25 0.9819567411043570
1 26 0.9871180776275840
1 27 0.9900400493476603
1 28 0.9915974884945721
1 29 0.9902040945760971
1 30 0.9741033319543737
1 31 0.8587674512088397
1 32 0.8708670249874221
1 33 0.9634817579025146
2 0 0.8511588651542392
2 1 0.9783725301096231
2 2 0.8641368374531999
2 3 0.9675240565474563
2 4 0.9787508233423620
2 5 0.8545459524151852
2 6 0.9869953906449873
2 7 0.8517480809722570
2 8 0.9842708989314998
2 9 0.9874146447602394
2 10 0.8526341150887193
2 11 0.9878580801759549
2 12 0.9885324745208409
2 13 0.8552144502569330
2 14 0.9879706947269639
2 15 0.9909253448673845
2 16 0.9442239354983650
2 17 0.9007226377688428
2 18 0.9915852056750993
2 19 0.9926200488608757
2 20 0.9906425266924428
2 21 0.8559638435423386
2 22 0.9917320650592588
2 23 0.9943717528549328
2 24 0.9954875127362431
2 25 0.9963837240038598
2 26 0.9955293343054042
2 27 0.8674834815664959
2 28 0.9919240009583513
2 29 0.9955236510538968
2 30 0.9955878795388051
3 0 0.9906476134695502
3 1 0.9223021198207531
3 2 0.9913052831449647
3 3 0.9226320501358451
3 4 0.9918752537211706
3 5 0.9230301226718374
3 6 0.9923514070092405
3 7 0.9280015318500076
3 8 0.9883498570601662
3 9 0.9932527459797214
3 10 0.9237771261466152
3 11 0.9935744751444343
3 12 0.9939353925522421
3 13 0.9243885270980178
3 14 0.9942906748922203
3 15 0.9946294019398226
3 16 0.9252850411885780
3 17 0.9947670985832502
3 18 0.9953455659244070
3 19 0.9953355311482809
3 20 0.9262561299338377
3 21 0.9963040250090095
3 22 0.9970597337039513
3 23 0.9976030921571990
3 24 0.9297290736831959
3 25 0.9962604592600882
3 26 0.9972899278847416
3 27 0.9970138315602907
3 28 0.9968692813145742
