l n nu E
0 1 75.876111 1.71960E-03
0 2 132.853165 1.62866E-04
0 3 185.256991 3.24038E-05
0 4 235.037226 8.54586E-06
0 5 284.085099 2.60109E-06
0 6 333.088381 8.48033E-07
0 7 381.098207 2.83098E-07
0 8 427.003838 1.04216E-07
0 9 471.519623 4.81538E-08
0 10 516.395037 2.66278E-08
0 11 561.513203 1.55942E-08
0 12 605.926757 9.94359E-09
0 13 650.096409 7.39495E-09
0 14 694.908551 6.10814E-09
0 15 740.213184 5.21377E-09
0 16 785.557419 4.59573E-09
0 17 830.963181 4.27031E-09
0 18 876.663579 4.14406E-09
0 19 922.674639 4.11053E-09
0 20 968.853465 4.13690E-09
0 21 1015.118154 4.23104E-09
0 22 1061.471306 4.40047E-09
0 23 1107.909644 4.65630E-09
0 24 1154.374788 5.02854E-09
0 25 1200.803173 5.57978E-09
0 26 1247.148184 6.42771E-09
0 27 1293.304197 7.88569E-09
0 28 1339.053196 1.09723E-08
0 29 1383.983777 2.06027E-08
0 30 1427.358980 1.09776E-07
0 31 1468.208814 1.87191E-07
0 32 1507.162912 1.76529E-08
0 33 1547.400242 8.49802E-09
0 34 1590.238134 6.91128E-09
0 35 1634.795766 7.02852E-09
1 1 530.803456 4.42515E-08
1 2 547.449585 3.57381E-08
1 3 579.204984 1.83617E-08
1 4 599.089487 2.81413E-08
1 5 627.259878 1.05160E-08
1 6 657.600168 1.48186E-08
1 7 679.425960 9.70531E-09
1 8 714.033926 7.50652E-09
1 9 741.008600 1.07297E-08
1 10 769.382693 5.98591E-09
1 11 807.685431 5.29690E-09
1 12 836.840987 9.81307E-09
1 13 862.029962 5.32601E-09
1 14 902.587027 4.42106E-09
1 15 945.523581 4.50777E-09
1 16 980.619757 8.74663E-09
1 17 1001.006787 6.20059E-09
1 18 1040.994825 4.56051E-09
1 19 1085.582163 4.66374E-09
1 20 1130.570561 4.99098E-09
1 21 1174.500996 5.76585E-09
1 22 1207.289418 1.30867E-08
1 23 1230.309665 7.88584E-09
1 24 1271.747814 7.39938E-09
1 25 1316.302512 9.29395E-09
1 26 1360.817232 1.42432E-08
1 27 1404.377986 3.56704E-08
1 28 1445.900678 1.74426E-06
1 29 1484.555557 4.77239E-08
1 30 1521.339670 1.31886E-08
1 31 1553.204872 1.17202E-08
1 32 1577.524295 9.49402E-09
1 33 1614.391288 7.27770E-09
2 0 681.207144 1.29870E-07
2 1 691.116712 6.48822E-09
2 2 730.497355 4.05783E-08
2 3 736.921907 6.02860E-09
2 4 780.990029 4.98120E-09
2 5 790.044959 6.07975E-08
2 6 826.936254 4.33398E-09
2 7 858.259932 1.03489E-07
2 8 873.094735 4.27797E-09
2 9 918.473918 4.19243E-09
2 10 940.174300 1.08235E-07
2 11 965.234348 4.19760E-09
2 12 1010.957833 4.30264E-09
2 13 1035.111205 9.16643E-08
2 14 1058.097344 4.47755E-09
2 15 1104.090846 4.66402E-09
2 16 1148.256574 7.58956E-09
2 17 1155.034272 1.34091E-08
2 18 1197.275297 5.56587E-09
2 19 1243.411141 6.36737E-09
2 20 1289.169215 7.89841E-09
2 21 1309.804565 1.65970E-07
2 22 1335.805088 1.07999E-08
2 23 1380.506200 1.92784E-08
2 24 1423.920100 8.67287E-08
2 25 1464.876165 2.96966E-07
2 26 1503.553952 2.00510E-08
2 27 1527.774640 9.74443E-08
2 28 1544.743678 8.98756E-09
2 29 1586.818037 6.97602E-09
2 30 1631.117917 6.99794E-09
3 0 798.801768 4.46618E-09
3 1 810.260561 1.44845E-06
3 2 844.465456 4.21086E-09
3 3 860.173605 1.84365E-06
3 4 890.416065 4.12203E-09
3 5 916.405738 1.95432E-06
3 6 936.612584 4.10845E-09
3 7 980.271760 6.17327E-08
3 8 983.106663 4.43090E-09
3 9 1029.318856 4.26935E-09
3 10 1055.161826 1.60151E-06
3 11 1075.823519 4.46933E-09
3 12 1122.290253 4.75885E-09
3 13 1142.634141 1.43112E-06
3 14 1168.870366 5.17406E-09
3 15 1215.319504 5.80182E-09
3 16 1245.016042 1.15926E-06
3 17 1261.753215 6.81282E-09
3 18 1307.785502 8.59087E-09
3 19 1353.282116 1.28425E-08
3 20 1365.006441 1.23291E-06
3 21 1397.997625 2.89030E-08
3 22 1440.671207 4.87103E-07
3 23 1480.669770 5.99599E-08
3 24 1513.694913 2.85260E-07
3 25 1519.895378 1.29885E-08
3 26 1560.836525 7.66095E-09
3 27 1604.362852 6.83191E-09
3 28 1649.274909 7.24857E-09
